scenario,scenario_type,scenario_geography,technology,mean,median,min,max,percentile_2.5,percentile_5,percentile_95,percentile_97.5
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10ROWO,CoalCap - w/o CCS,1.1333382874147977,1.141199424223188,1.1073338809475914,1.1450703971139224,1.107483825601328,1.1077796982191828,1.145015740308231,1.1450517355911618
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10ROWO,CoalCap - w/o CCS,0.8778327445442111,0.8541247363727078,0.7125993925466225,1.1113643623913434,0.718812997256672,0.7236381080091737,1.0579983187164008,1.0816586757618558
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REST_ASIA,CoalCap - w/o CCS,0.7883238420181251,0.7902088313989083,0.7614390233725598,0.8108378761418636,0.7640596734940298,0.7667309773323605,0.8051026727517727,0.8079000113812977
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REST_ASIA,CoalCap - w/o CCS,0.5983854283705538,0.6184404740064746,0.42647372981792214,0.7618952485169186,0.4295867607050853,0.4346518364718688,0.7452331220207942,0.7528917348509643
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10REF_ECON,CoalCap - w/o CCS,0.9939959387439379,0.9692326658719177,0.8314457879160121,1.2617687834400495,0.8347033077610304,0.8379700051962669,1.2242203465318902,1.242884505825124
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10REF_ECON,CoalCap - w/o CCS,0.595413437890868,0.5877699509400456,0.41897822066455437,0.8524757396031879,0.4215946231285691,0.42423500825537624,0.8196247660465288,0.835840829616419
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10PAC_OECD,CoalCap - w/o CCS,0.7646139982271669,0.7699369396653373,0.6995124238872467,0.8150665608232553,0.705224465748421,0.7109315874250961,0.8080468849866229,0.8115307144152748
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10PAC_OECD,CoalCap - w/o CCS,0.47201315186790543,0.4505166260807443,0.41119426087959093,0.6224527125659183,0.4118964470620039,0.41340743741296804,0.5759737560483544,0.5992008092285361
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10NORTH_AM,CoalCap - w/o CCS,0.8006427780106514,0.8014518212814653,0.754026756436465,0.8514778161688974,0.7552684553740195,0.7564632338316951,0.8454422542676706,0.8481210279915795
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10NORTH_AM,CoalCap - w/o CCS,0.7504561989160271,0.7311471213280013,0.40230087610650755,1.0957119300861122,0.40297454408164607,0.4037507582677124,1.0732272484272412,1.084335180661241
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10MIDDLE_EAST,CoalCap - w/o CCS,1.1068381484457177,1.137681842418869,0.9249974476814327,1.236300316717878,0.9357886046779048,0.9466972623639361,1.219611018642858,1.2279516302716293
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10MIDDLE_EAST,CoalCap - w/o CCS,0.6597746216058324,0.6313933058668519,0.42104235918780486,0.974624395038294,0.4225891509597243,0.4277481949442772,0.9194333469145162,0.9424526292439164
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10LATIN_AM,CoalCap - w/o CCS,0.8010415935544716,0.7967610180929365,0.7284505124413234,0.8593213483217444,0.7318604922825068,0.7355712923923312,0.8577264289776456,0.8585234905251756
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10LATIN_AM,CoalCap - w/o CCS,0.6856150813408887,0.6627823221585273,0.6113047309709079,0.8101505975297353,0.6143256703459956,0.6164336683786826,0.7790125607514582,0.7918434506756372
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10INDIA+,CoalCap - w/o CCS,0.8515895260189859,0.8360319134031835,0.7995098056180664,0.9258587612194047,0.8040650248448354,0.807117176888194,0.9154800580634312,0.9204984788672809
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10INDIA+,CoalCap - w/o CCS,0.6731102972128998,0.6979160959255757,0.4308767647321561,0.8731313233882126,0.43108917886663245,0.4340464480142855,0.8708110936035437,0.8719714677625914
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10EUROPE,CoalCap - w/o CCS,0.7688937352687562,0.7614153624194813,0.7513578306791854,0.8157203618840895,0.7518124965004572,0.7522594594254723,0.8032359984052471,0.808239895491011
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10EUROPE,CoalCap - w/o CCS,0.660358522955118,0.6612356601236451,0.38072442041572013,0.8603903968775547,0.39706413458607237,0.4124495938410239,0.8580320694619236,0.8591569390020702
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10CHINA+,CoalCap - w/o CCS,0.9437371256745501,0.9403172979162744,0.9112061270766423,0.9895377950669625,0.9120674710765693,0.9129102788950443,0.9832848206747078,0.9863281493210332
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10CHINA+,CoalCap - w/o CCS,0.49355834095516793,0.4556259406763772,0.4137711284872028,0.8526831520789194,0.4186099426445201,0.42261793020868055,0.7474060282103179,0.8006359255284597
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10AFRICA,CoalCap - w/o CCS,0.8953940358049362,0.8928122643845815,0.8324525177423683,0.9796705252904998,0.8327403980383271,0.8329277602671437,0.9709145223474936,0.9752910078628112
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10AFRICA,CoalCap - w/o CCS,0.7380509408787554,0.7398948467276646,0.5820510038991212,0.9685889625408534,0.5862943100903,0.5936195079863895,0.8997281984658787,0.9321554121754512
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,JPN,CoalCap - w/o CCS,0.7646139982271669,0.7699369396653373,0.6995124238872467,0.8150665608232553,0.705224465748421,0.7109315874250961,0.8080468849866229,0.8115307144152748
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,JPN,CoalCap - w/o CCS,0.47201315186790543,0.4505166260807443,0.41119426087959093,0.6224527125659183,0.4118964470620039,0.41340743741296804,0.5759737560483544,0.5992008092285361
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,IND,CoalCap - w/o CCS,0.8515895260189859,0.8360319134031835,0.7995098056180664,0.9258587612194047,0.8040650248448354,0.807117176888194,0.9154800580634312,0.9204984788672809
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,IND,CoalCap - w/o CCS,0.6731102972128998,0.6979160959255757,0.4308767647321561,0.8731313233882126,0.43108917886663245,0.4340464480142855,0.8708110936035437,0.8719714677625914
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,Global,CoalCap - w/o CCS,0.8036075535116571,0.8020391938304481,0.7785228204673632,0.8405070473703451,0.7809342449607121,0.7830806320747119,0.8292121158883801,0.8348479701924445
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,Global,CoalCap - w/o CCS,0.5485405797221844,0.5573130933306438,0.4092851191817206,0.7559832123322032,0.4138250466975532,0.4174208895409227,0.6808903018795942,0.7150661615637072
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,EU,CoalCap - w/o CCS,0.7688937352687562,0.7614153624194813,0.7513578306791854,0.8157203618840895,0.7518124965004572,0.7522594594254723,0.8032359984052471,0.808239895491011
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,EU,CoalCap - w/o CCS,0.660358522955118,0.6612356601236451,0.38072442041572013,0.8603903968775547,0.39706413458607237,0.4124495938410239,0.8580320694619236,0.8591569390020702
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,CHN,CoalCap - w/o CCS,0.9437371256745501,0.9403172979162744,0.9112061270766423,0.9895377950669625,0.9120674710765693,0.9129102788950443,0.9832848206747078,0.9863281493210332
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,CHN,CoalCap - w/o CCS,0.49355834095516793,0.4556259406763772,0.4137711284872028,0.8526831520789194,0.4186099426445201,0.42261793020868055,0.7474060282103179,0.8006359255284597
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,USA,CoalCap,0.7763277990621261,0.7761691767123375,0.7295746729399594,0.830183264171003,0.7307257049182302,0.7318309707306979,0.8231186248732135,0.8265432196532742
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,USA,CoalCap,0.7364948781942895,0.7137410885904107,0.39333528306126303,1.1169551472693082,0.393769081737901,0.39458126509902536,1.0801528064384145,1.0983891660626526
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,RUS,CoalCap,0.8634854222072348,0.8406655802739149,0.7119547446908907,1.1113722295463713,0.7151622259941497,0.7183784371832332,1.0765925708205097,1.0938804566792664
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,RUS,CoalCap,0.5205058795630684,0.5061271597694531,0.35331842299226146,0.747368935782345,0.3562747752016494,0.3592407561710893,0.7174687826961071,0.7322298927457923
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_Base,baseline,R10ROWO,CoalCap,0.9922571377061342,0.9980442244500107,0.9658365237950695,1.0153307345049798,0.9658583645102996,0.965975275529301,1.0127637690663849,1.014035686265582
AR6_REMIND-MAgPIE 2.1-4.3_DeepElec_SSP2_ HighRE_Budg900,target,R10ROWO,CoalCap,0.7392621978263458,0.7228560155373637,0.5951050481993692,1.0005859912771973,0.5963358111841176,0.6011641469386781,0.9092659454084439,0.9546989638504801
