scenario,region,companies,baseline_bn,shock_bn,change_bn,change_pct
AIM/CGE 2.2,R10REST_ASIA,302,3057.4463391491213,2372.2637229232355,-685.1826162258858,-22.41029081859766
AIM/CGE 2.2,RUS,88,896.3124982168592,1539.504159291489,643.1916610746298,71.75975592822897
AIM/CGE 2.2,USA,667,6079.18199167727,6772.598322738039,693.4163310607692,11.406408493940365
AIM/CGE 2.2,TOTAL,4660,51173.36097445527,45215.69388133054,-5957.667093124728,-11.642125863295707
GEM-E3 V2021,ARG,23,23.84530682368293,30.584772282840074,6.739465459157145,28.26327842619149
GEM-E3 V2021,AUS,58,-2.3571809621153745,3.568684091733572,5.925865053848947,251.39627160958293
GEM-E3 V2021,BRA,83,358.35215356465073,363.74940188455713,5.397248319906396,1.5061297291555613
GEM-E3 V2021,CAN,64,274.58515678795317,346.996537459607,72.41138067165383,26.371192645192075
GEM-E3 V2021,CHN,1633,3440.1859641681503,3558.2612371302284,118.07527296207809,3.432235181234719
GEM-E3 V2021,EU,429,318.01700323501444,437.9055204081674,119.88851717315293,37.69877583701252
GEM-E3 V2021,Global,145,165.80027643343627,173.39782168980648,7.597545256370211,4.582347761899174
GEM-E3 V2021,IDN,85,116.22551863533623,68.66322562139032,-47.562293013945904,-40.92241839176054
GEM-E3 V2021,IND,155,706.3249530013585,502.98739597185266,-203.33755702950583,-28.788103289494675
GEM-E3 V2021,JPN,124,125.12716681185951,154.05719813336736,28.930031321507855,23.120503771180946
GEM-E3 V2021,KOR,47,29.296527475109016,111.80020980642882,82.50368233131981,281.61590960367835
GEM-E3 V2021,MEX,22,6.072080356715445,10.42319908498444,4.351118728268994,71.65779226648169
GEM-E3 V2021,R10CHINA+,7,-0.6808012382284169,-3.1905812968718448,-2.509780058643428,-368.6509244863281
GEM-E3 V2021,R10EUROPE,173,114.07659128550846,127.75110165575026,13.674510370241805,11.987130940840906
GEM-E3 V2021,R10INDIA+,102,123.77692010494165,122.58719943634352,-1.1897206685981274,-0.9611813475318726
GEM-E3 V2021,R10LATIN_AM,113,169.68172542913575,167.26781071291492,-2.4139147162208303,-1.4226132543831034
GEM-E3 V2021,R10MIDDLE_EAST,193,-301.57008053370873,-352.2433988818045,-50.67331834809579,-16.80316504157701
GEM-E3 V2021,R10NORTH_AM,1,-0.0772102560979296,-0.09806378236424305,-0.020853526266313455,-27.008751583292113
GEM-E3 V2021,R10PAC_OECD,5,10.839040412995496,16.763751406472085,5.924710993476589,54.660844205111935
GEM-E3 V2021,R10REF_ECON,89,134.91791653710905,404.9073877252659,269.9894711881568,200.1138752493976
GEM-E3 V2021,R10REST_ASIA,216,69.6694322688696,125.97631260952892,56.30688034065932,80.82006485047665
GEM-E3 V2021,RUS,87,820.1501198306258,1258.681470954017,438.5313511233911,53.46964421756773
GEM-E3 V2021,SAU,33,25.128212449056516,-126.39721381332451,-151.52542626238102,-603.0091737308211
GEM-E3 V2021,TUR,47,78.67039782866566,71.52361547991286,-7.146782348752794,-9.084461939950522
